movie,year,id
Jason Goes to Hell: The Final Friday,1993,107254
Jurassic Park,1993,107290
Kalifornia,1993,107302
Leprechaun,1993,107387
Manhattan Murder Mystery,1993,107507
The Nightmare Before Christmas,1993,107688
The Pelican Brief,1993,107798
A Perfect World,1993,107808
Philadelphia,1993,107818
The Piano,1993,107822
Poetic Justice,1993,107840
The Program,1993,107889
The Sandlot,1993,108037
Schindler's List,1993,108052
Six Degrees of Separation,1993,108149
Sleepless in Seattle,1993,108160
Sliver,1993,108162
So I Married an Axe Murderer,1993,108174
Spare Me,1993,108200
The Thing Called Love,1993,108327
This Boy's Life,1993,108330
The Three Musketeers,1993,108333
Tombstone,1993,108358
True Romance,1993,108399
Ace Ventura: Pet Detective,1994,109040
Blankman,1994,109288
Clear and Present Danger,1994,109444
Clerks,1994,109445
Cobb,1994,109450
Color of Night,1994,109456
The Crow,1994,109506
D2: The Mighty Ducks,1994,109520
Disclosure,1994,109635
Dumb and Dumber,1994,109686
Ed Wood,1994,109707
The Flintstones,1994,109813
Forrest Gump,1994,109830
Four Weddings and a Funeral,1994,109831
Mary Shelley's Frankenstein,1994,109836
Freaked,1993,109838
Heavenly Creatures,1994,110005
Heavyweights,1995,110006
Highlander: The Final Dimension,1994,110027
The Hudsucker Proxy,1994,110074
I'll Do Anything,1994,110097
Interview with the Vampire: The Vampire Chronicles,1994,110148
Killing Zoe,1993,110265
The Low Life,1995,110400
The Mask,1994,110475
Maverick,1994,110478
Mute Witness,1995,110604
Natural Born Killers,1994,110632
Only You,1994,110737
Before the Rain,1994,110882
Pulp Fiction,1994,110912
Quiz Show,1994,110932
Reality Bites,1994,110950
Texas Chainsaw Massacre: The Next Generation,1995,110978
Serial Mom,1994,111127
Shallow Grave,1994,111149
The Shawshank Redemption,1994,111161
Speed,1994,111257
Star Trek: Generations,1994,111280
Stranglehold,1994,111300
True Lies,1994,111503
New Nightmare,1994,111686
The American President,1995,112346
Apollo 13,1995,112384
Assassins,1995,112401
Bad Boys,1995,112442
Batman Forever,1995,112462
The Brady Bunch Movie,1995,112572
Braveheart,1995,112573
The Bridges of Madison County,1995,112579
A Bucket of Blood,,112594
Casino,1995,112641
Casper,1995,112642
Clockers,1995,112688
Clueless,1995,112697
Copycat,1995,112722
Devil in a Blue Dress,1995,112857
Die Hard with a Vengeance,1995,112864
Four Rooms,1995,113101
Friday,1995,113118
Full Body Massage,,113131
Get Shorty,1995,113161
GoldenEye,1995,113189
A Goofy Movie,1995,113198
Hackers,1995,113243
Halloween: The Curse of Michael Myers,1995,113253
Heat,1995,113277
Judge Dredd,1995,113492
Jumanji,1995,113497
Kids,1995,113540
Leaving Las Vegas,1995,113627
Living in Oblivion,1995,113677
Lord of Illusions,1995,113690
Mallrats,1995,113749
Mighty Morphin Power Rangers,1995,113820
Mr. Holland's Opus,1995,113862
Nick of Time,1995,113972
Nixon,1995,113987
Othello,1995,114057
Outbreak,1995,114069
Panther,1995,114084
The Prophecy,1995,114194
The Scarlet Letter,1995,114345
Se7en,1995,114369
Sense and Sensibility,1995,114388
Showgirls,1995,114436
Smoke,1995,114478
Strange Days,1995,114558
Superfights,1996,114582
Three Wishes,1995,114663
Toy Story,1995,114709
12 Monkeys,1995,114746
The Usual Suspects,1995,114814
Virtuosity,1995,114857
While You Were Sleeping,1995,114924
101 Dalmatians,1996,115433
Bad Moon,1996,115610
Basquiat,1996,115632
Beavis and Butt-Head Do America,1996,115641
The Birdcage,1996,115685
Blood and Wine,1996,115710
Bottle Rocket,1996,115734
Bound,1996,115736
Broken Arrow,1996,115759
The Cable Guy,1996,115798
Courage Under Fire,1996,115956
The Craft,1996,115963
The Crow: City of Angels,1996,115986
D3: The Mighty Ducks,1996,116000
DragonHeart,1996,116136
The English Patient,1996,116209
Escape from L.A.,1996,116225
Executive Decision,1996,116253
Fargo,1996,116282
The Frighteners,1996,116365
From Dusk Till Dawn,1996,116367
The Ghost and the Darkness,1996,116409
Independence Day,1996,116629
The Island of Dr. Moreau,1996,116654
Jerry Maguire,1996,116695
Jingle All the Way,1996,116705
Kingpin,1996,116778
Lone Star,1996,116905
The Long Kiss Goodnight,1996,116908
Lost Highway,1997,116922
Mars Attacks!,1996,116996
Mission: Impossible,1996,117060
Moebius,1996,117069
The Phantom,1996,117331
The Rock,1996,117500
Romeo + Juliet,1996,117509
Scream,1996,117571
Shine,1996,117631
Sleepers,1996,117665
Sling Blade,1996,117666
Star Trek: First Contact,1996,117731
Steel Sharks,1997,117738
Swingers,1996,117802
A Thin Line Between Love and Hate,1996,117891
Tin Cup,1996,117918
Trainspotting,1996,117951
White Squall,1996,118158
One Eight Seven,1997,118531
Absolute Power,1997,118548
Affliction,1997,118564
Air Force One,1997,118571
Alien: Resurrection,1997,118583
An American Werewolf in Paris,1997,118604
Amistad,1997,118607
